trip_id,arrival_time,departure_time,stop_id,stop_sequence
FW_2,11:02:00,11:02:00,69,52
FW_2,11:06:00,11:06:00,70,53
FW_2,11:15:00,11:15:00,40_71,54
FW_2,11:21:00,11:21:00,72,55
FW_2,11:22:00,11:22:00,38_73,56
FW_2,11:23:00,11:23:00,74,57
FW_2,11:25:00,11:25:00,75,58
FW_2,11:26:00,11:26:00,76,59
FW_2,11:28:00,11:28:00,77,60
FW_2,11:30:00,11:30:00,78,61
FW_2,11:32:00,11:32:00,79,62
FW_2,11:36:00,11:36:00,35_80,63
FW_2,11:38:00,11:38:00,81,64
FW_2,11:42:00,11:42:00,83,65
FW_2,11:50:00,11:50:00,85,66
FW_2,11:52:00,11:52:00,86,67
FW_2,11:55:00,11:55:00,87,68
FW_2,12:00:00,12:00:00,29_88,69
FW_2,12:02:00,12:02:00,91,70
FW_2,12:04:00,12:04:00,27_92,71
FW_2,12:05:00,12:05:00,93,72
FW_2,12:06:00,12:06:00,94,73
FW_2,12:06:30,12:06:30,95,74
FW_2,12:08:00,12:08:00,96,75
FW_2,12:09:00,12:09:00,97,76
FW_2,12:10:00,12:10:00,98,77
FW_2,12:12:00,12:12:00,99,78
FW_2,12:14:00,12:14:00,100,79
FW_2,12:15:00,12:15:00,101,80
FW_2,12:15:30,12:15:30,102,81
FW_2,12:16:00,12:16:00,103,82
FW_2,12:17:00,12:17:00,104,83
FW_2,12:22:00,12:22:00,11,84
FW_2,12:24:00,12:24:00,106_171,85
FW_3,11:20:00,11:20:00,55_58,42
FW_3,11:25:00,11:25:00,54_59,43
FW_3,11:32:00,11:32:00,53_60,44
FW_3,11:33:00,11:33:00,61,45
FW_3,11:34:00,11:34:00,50_63,46
FW_3,11:41:00,11:41:00,49_64,47
FW_3,11:43:00,11:43:00,48_65,48
FW_3,11:50:00,11:50:00,44_66,49
FW_3,11:57:00,11:57:00,43_67,50
FW_3,12:00:00,12:00:00,41_68,51
FW_3,12:02:00,12:02:00,69,52
FW_3,12:06:00,12:06:00,70,53
FW_3,12:15:00,12:15:00,40_71,54
FW_3,12:21:00,12:21:00,72,55
FW_3,12:22:00,12:22:00,38_73,56
FW_3,12:23:00,12:23:00,74,57
FW_3,12:25:00,12:25:00,75,58
FW_3,12:26:00,12:26:00,76,59
FW_3,12:28:00,12:28:00,77,60
FW_3,12:30:00,12:30:00,78,61
FW_3,12:32:00,12:32:00,79,62
FW_3,12:36:00,12:36:00,35_80,63
FW_3,12:38:00,12:38:00,81,64
FW_3,12:42:00,12:42:00,83,65
FW_3,12:50:00,12:50:00,85,66
FW_3,12:52:00,12:52:00,86,67
FW_3,12:55:00,12:55:00,87,68
FW_3,13:00:00,13:00:00,29_88,69
FW_3,13:02:00,13:02:00,91,70
FW_3,13:04:00,13:04:00,27_92,71
FW_3,13:05:00,13:05:00,93,72
FW_3,13:06:00,13:06:00,94,73
FW_3,13:06:30,13:06:30,95,74
FW_3,13:08:00,13:08:00,96,75
FW_3,13:09:00,13:09:00,97,76
FW_3,13:10:00,13:10:00,98,77
FW_3,13:12:00,13:12:00,99,78
FW_3,13:14:00,13:14:00,100,79
FW_3,13:15:00,13:15:00,101,80
FW_3,13:15:30,13:15:30,102,81
FW_3,13:16:00,13:16:00,103,82
FW_3,13:17:00,13:17:00,104,83
FW_3,13:22:00,13:22:00,11,84
FW_3,13:24:00,13:24:00,106_171,85
FW_4,12:20:00,12:20:00,55_58,42
FW_4,12:25:00,12:25:00,54_59,43
FW_4,12:32:00,12:32:00,53_60,44
FW_4,12:33:00,12:33:00,61,45
FW_4,12:34:00,12:34:00,50_63,46
FW_4,12:41:00,12:41:00,49_64,47
FW_4,12:43:00,12:43:00,48_65,48
FW_4,12:50:00,12:50:00,44_66,49
FW_4,12:57:00,12:57:00,43_67,50
FW_4,13:00:00,13:00:00,41_68,51
FW_4,13:02:00,13:02:00,69,52
FW_4,13:06:00,13:06:00,70,53
